start	end	text
0	4060	Это отдельное рабочее место для проверки и аккуратной
4060	5960	правки масок талька.
5960	10560	Высходных данных зоны от олькования размечены вручную.
10560	13920	Синими линиями поверх фотографии шлифа.
13920	18320	Такая разметка помогает стартовать, но это еще не точная
18320	19320	маска.
19320	23440	Контуры бывают открытыми, иногда попадают сульфиды,
23440	26480	а сам тальк лежит пятными и прожилками.
26480	30680	Поэтому инструмент сначала строит черновую область,
30680	34640	а человек быстро уточняет ее прямо в браузере.
34640	38040	В верхнем списке можно переключать фоны.
38040	42440	Чистая фотография, исходная картинка с синими линиями
42440	44840	и проверочный слой конвертора.
44840	48400	Проверочный слой показывает, как алгоритм замкнул
48400	52280	линии, какие зоны считают стартовыми и где видят
52280	54360	пересечения с сульфидами.
54360	57280	Правим не сам рисунок с линиями.
57280	61120	Работа идет с маской, которая потом попадет в обучение
61120	62920	и в расчет доли талька.
62920	67120	Слева поверх изображения находится виджет классов
67120	68760	и видимости слоев.
68760	72760	Первый класс задает положительную область кандидат.
72760	74800	Где талька ожидается?
74800	78440	Это границы поиска, а не утверждение, что каждый
78440	80640	пиксель внутри уже тальк.
80640	83600	Второй класс – это подтвержденный тальк.
83600	87120	Именно эти пиксели считаются надежной разметкой
87120	88880	для моделей и метрик.
88880	92640	Отдельная подсветка показывает локальное ископление
92640	93640	талька.
93640	98000	Это подсказка для обзора аниновой обучающий класс.
98000	101840	Редом сразу видны проценты по изображению.
101840	105840	Нижний статус напоминает близкале разметка к порогу
105840	107280	оталькованной руды.
107280	110440	Перед правкой выбираем активный класс.
110440	114240	Если выбран подтвержденный тальк, кисть добавляет
114240	115240	именно его.
115240	119880	Лёвая кнопка мыши рисует правое сразу стирает.
119880	122040	Отдельный ластик не нужен.
122040	126080	Размер кисти меняется в понели инструментов и круг под
126080	130200	курсором показывает фактическую область рисования.
130200	134080	Для замкнутых или почти замкнутых участков удобно
134080	135080	заливка.
135080	139680	Она растёт до синилинии, текущей маски сульфида или
139680	141400	края изображения.
141400	145160	Крупные фрагменты проще наметить прямоугольникам
145160	146160	или полигоном.
146160	147920	Это не обводка.
147920	152200	Инструмент сразу создаёт заполненную область выбранного
152200	153200	класса.
153200	156480	Прямоугольник можно растянуть или сдвинуть потянув
156480	158280	за углы из стороны.
158280	160400	Полигон строится точками.
160400	164200	Чтобы завершить фигуру, кликаем по первой точке.
164200	168440	Пока маска не сохранена и образец не сменился, фигуры
168440	170680	остаются редактируемыми.
170680	174720	Можно двигать вершины, добавлять и убирать точки.
174720	178520	При сохранении все превращаются в обычную пиксельную
178520	179520	маску.
179520	183840	Если конкретная темная зерно выглядит как тальк, включаем
183840	185960	поиск похожих пикселей.
185960	190040	Инструмент берет цвет и яркость вокруг клика и сразу
190040	193920	показывает похожие места по всему изображению.
193920	196920	Это только предварительный просмотр.
196920	200760	Маска изменится только после применения подсказки
200760	203800	или сохранения активного результата.
203800	207520	Строгость регулирует, насколько узкую искать похожие
207520	211480	пиксели и сколько кандидатов попадёт в подсказку.
211480	214360	Еще есть не расситевой помощник.
214360	218520	Он может предложить область по точке или прямоугольнику,
218520	220320	если модель подключена.
220320	224320	Ползунок предпросмотра темных пикселей тоже не меняет
224320	225560	разметку.
225560	230240	Он скрывает яркие участки и показывает сколько изображения
230240	232640	остается темным кандидатом.
232640	235040	Главное правило качество.
235040	238520	Тальк не должен автоматически попадать в сульфидные
238520	239520	зерна.
239520	242800	Поэтому защита включена по умолчанию.
242800	246280	Все новые пиксели только обрезаются по сульфидной
246280	247280	маске.
247280	251120	Если пересечение уже было в старой маске, отдельная
251120	254960	команда вычитает сульфиды и стекущие разметки.
254960	259160	Для финального обзора включаем подсветку скоплений.
259160	263080	Она помогает увидеть, где тальк расположен кучно и не
263080	265960	создаёт новый обучающий класс.
265960	269440	После правки нажимаем кнопку сохранения.
269440	273600	Если нужно сразу идти дальше с сохранением и переходим
273600	278160	к следующему, отдельная кнопка перехода просто открывает
278160	281440	следующий образец без записи изменений.
281440	285280	На выходе остаются 3 проверенных результата.
285280	289080	Область кандидат подтверждённый тальк и объединённая
289080	290840	совместимая маска.
290840	294440	Эти маски идут дальше в обучение модели талька
294440	298840	и в честный расчёт доли оталькования по всему изображению.
