start	end	text
0	5000	Это отдельное рабочее место для проверки и аккуратной правки масок талька.
6000	9400	Высходных данных зоны отлькования, размечены вручную,
9400	12400	синими линиями поверх фотографии шлифа.
13400	17800	Такая разметка помогает стартовать, но это еще не точная маска.
18600	25000	Контуры бывают открытыми, иногда попадают сульфиды, а сам тальк лежит пятными и прожилками.
26000	29000	Поэтому инструмент сначала строит черновую область,
29000	32000	а человек быстро уточняет ее прямо в браузере.
33000	37000	В верхнем списке можно переключать фоны, чистая фотография,
37000	41000	исходная картинка с синими линиями и проверочной слой конвертора.
42000	46000	Проверочной слой показывает, как алгоритм замкнул линии,
46000	50000	какие зоны считают стартовыми и, где видит пересечение сульфидами.
51000	54000	Правим не сам рисунок с линиями.
55000	60000	Работа идет с маской, которая потом попадет в обучение и в расчет до литалька.
61000	66000	Слева поверх изображения находится виджет классов и видимости слоев.
67000	72000	Первый класс задает положительную область кандидат, где талька ожидается.
73000	78000	Это граница поиска, а не утверждение, что каждый пиксель внутри уже тальк.
79000	82000	Второй класс – это подтвержденный тальк.
83000	87000	Именно эти пиксели считаются надежной разметкой для модели и метрик.
88000	92000	Отдельная подсветка показывает локальное ископление талька.
93000	97000	Это подсказка для обзора, а не новые обучающий класс.
98000	101000	Рядом сразу видны проценты по изображению.
102000	107000	Нижний статус напоминает, близкали разметка к порогу оталькованной руды.
108000	110000	Перед правкой выбираем активный класс.
111000	115000	Если выбран подтвержденный тальк, кисть добавляет именно его.
116000	121000	Левая кнопка мыши рисует, правая сразу стирает, а отдельный ластик не нужен.
122000	129000	Размер кисти меняется в панели инструментов и круг под курсором показывает фактическую область рисования.
130000	135000	Для замкнутых или почти замкнутых участков удобно заливка.
136000	141000	Она растет до синии линии, текущей маски, сульфида или края изображения.
143000	147000	Крупные фрагменты проще наметить прямоугольникам или полигоном.
148000	149000	Это не обводка.
150000	154000	Инструмент сразу создает заполненную область выбранного класса.
155000	159000	Примугольник можно растянуть или сдвинуть, потянув за углы и стороны.
160000	165000	Полигон строится точками, чтобы завершить фигуру, кликаем по первой точке.
166000	172000	Пока маска не сохранена и образец не сменился, фигуры остаются редактируемыми.
173000	176000	Можно двигать вершины, добавлять и убирать точки.
177000	181000	При сохранении все превращаются в обычную пиксельную маску.
182000	188000	Если конкретная темная зерна выглядит как тальк, включаем поиск похожих пикселей.
189000	195000	Инструмент берет свет и яркость вокруг клика и сразу показывает похожие места по всему изображению.
196000	199000	Это только предварительный просмотр.
200000	205000	Маска изменится только после применения подсказки или сохранения активного результата.
206000	213000	Строгость регулирует, насколько узко искать похожие пиксели и сколько кандидатов попадет в подсказку.
214000	222000	Еще есть нероситевой помощник, он может предложить область по точке или прямоугольнику, если модель подключена.
223000	227000	Ползунок предпросмотр о темных пикселей тоже не меняет разметку.
228000	234000	Он скрывает яркие участки и показывает, сколько изображения остается темным кандидатом.
235000	240000	Главное правило качество, тальк не должен автоматически попадать в сульфидные зерна.
241000	244000	Поэтому защита включена по умолчанию.
245000	249000	Все новые пиксели талька обрезаются по сульфидной маске.
250000	256000	Если пересечение уже было в старой маске, отдельная команда вычитает сульфиды и стекущие разметки.
257000	266000	Для финального обзора включаем подсветку скоплений, она помогает увидеть, где тальк расположен кучно и не создает новый обучающий класс.
267000	270000	После правки нажимаем кнопку сохранения.
271000	276000	Если нужно сразу идти дальше, сохраняем и переходим к следующему.
277000	282000	Отдельная кнопка перехода просто открывает следующий образец без записи изменений.
283000	290000	На выходе остаются три проверенных результата, область кандидат, подтвержденный тальк и объединенная совместимая маска.
290000	297000	Эти маски идут дальше в обучение модели талька и в честный расчет доля талькования по всему изображению.
