/Users/ashmelev/.local/pipx/venvs/openai-whisper/lib/python3.13/site-packages/whisper/transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.500]  Открываем образец из датац-это-хокатона.
[00:03.000 --> 00:08.500]  Сейчас на экране только исходная фотография шлифа, без классов, без подсказок и без результатов модели.
[00:09.000 --> 00:12.500]  Это та картинка, с которой начинается экспертная проверка.
[00:13.000 --> 00:16.000]  Теперь включаем исходной синий линии.
[00:17.000 --> 00:22.000]  Это грубая ручная разметка, сделанная поверх изображения в графическом редакторе.
[00:23.000 --> 00:29.000]  Она полезна как стартовая подсказка, но это не пиксельная маска талька и не точный экспертный контур.
[00:30.000 --> 00:35.000]  Из этих линии инструмент строит положительную область.
[00:36.000 --> 00:46.000]  Мы называем ее областью кандидатом внутри тальк вероятин, но мы не утверждаем, что каждый пиксель внутри уже тальк.
[00:47.000 --> 00:54.000]  Это просто зона поиска, где эксперту и алгоритму есть смысл более внимательно смотреть.
[00:55.000 --> 00:58.000]  Важно, это площадь неравна доли талька.
[00:59.000 --> 01:06.000]  В официальной сессии вопросов и ответов организаторы не дали даже выброчно в численных долей талька для таких изображений.
[01:07.000 --> 01:16.000]  Поэтому мы явно фиксируем своем методологию, тальк ищем как темной хлопья в нерудной матрице, а пороп 10% используем уже для итогового правила класса.
[01:17.000 --> 01:21.000]  Дальше включаем предпросмотр темных пикселей и ставим пороп 50.
[01:22.000 --> 01:24.000]  Это не меняет разметку.
[01:25.000 --> 01:31.000]  Слой только помогает глазу, яркие участки уходят на второй план, а темные кандидаты становятся заметнее.
[01:32.000 --> 01:38.000]  Это согласуется с ослайдом, геолог ищет не любой пятно, а темные хлопья в нерудной матрице.
[01:39.000 --> 01:41.000]  Эксперт не рисует все с нуля.
[01:42.000 --> 01:48.000]  В интерфейсе есть кисть, левая кнопка добавляет выбранный класс, правая сразу стирает.
[01:49.000 --> 01:57.000]  Есть заливка для замкнутых областей, поиск похожи в пикселей под святую и яркости, полигон и прямогольник для крупных фрагментов.
[01:58.000 --> 02:03.000]  Так мы быстро переводим грубую област кандидат в пиксельную разметку талька.
[02:04.000 --> 02:12.000]  После ручной проверки мы получаем ужений област кандидат, а подтвержденный пиксель талька.
[02:13.000 --> 02:21.000]  Именно этот слой нужен для обучения модели и для расчета доли талькованализируемые области.
[02:22.000 --> 02:27.000]  Когда эксперт закончил правку, кнопка сохранить записывает маски для текущего образца.
[02:28.000 --> 02:32.000]  Кнопка сохранить и перейти дальше, делает то же самое и сразу открывает следующий образец.
[02:33.000 --> 02:37.000]  В этом ролике мы кнопки не нажимаем, чтобы не менять состояние демонстрационного набора.
[02:38.000 --> 02:43.000]  Теперь выключаем предпросмотр темных пикселей и переходим к режимам сравнения.
[02:44.000 --> 02:54.000]  Здесь можно смотреть текущую ручную маску отдельно или сравнивать ее с двумя источниками, объясним и вристикой и не расситевой моделью.
[02:55.000 --> 03:00.000]  Сначала запускаем и вристический классификатор.
[03:01.000 --> 03:16.000]  Он повторяет понятную логику со слайда, исключаем рудную фазу, ищем темной хлопья в нерудной матрице, отбрасываем с плашной темной пятна и собираем близкие хлопья в зону талька.
[03:18.000 --> 03:23.000]  Это не финальная истина, а прозрачная проверочная подсказка.
[03:24.000 --> 03:29.000]  Теперь запускаем не расситевой модель талька.
[03:31.000 --> 03:33.000]  Это сикформер Биноль.
[03:34.000 --> 03:41.000]  Модель смотрит на пиксель в нерудной области и выдает свою маску талька.
[03:42.000 --> 03:56.000]  В отличие от синилини, это уже плотная эмельсигментация, которую можно сравнивать с ручной правкой эксперта.
[03:57.000 --> 04:04.000]  В итоге на одном и том же образце видны три уровня сигнала, грубая зона от синих линии, объяснимая вристика и не расситивая сигментация.
[04:04.000 --> 04:11.000]  Так интерфейс показывает, откуда берет собучающий размет талька и почему эксперт может быстро проверить результат перед использованием в модели.
