start	end	text
0	5000	Эта демонстрация V2 интерфейса решения, скажи мне, кто твой шлиф.
6000	9000	Задача простая для пользователя и сложной для модели,
9000	12000	по одному оптическому изображению определить сорт руды.
13000	18000	Мы различаем обычные сростки, трудно богатимые тонкие сросты и оталькованные руды,
18000	20000	где важна доля талька.
20000	24000	На экране V1 реальный ран из истории V2 UI, исходный шлиф,
24000	28000	маски и результат уже сохранены, как не изменяемые артефакты.
29000	32000	Сначала мы проверяем данные, потому что официальные папки
32000	35000	размечены на уровне изображения, а не пиксельными масками.
36000	42000	Аудит нашел 56 групп дубликатов по содержимому и 24 группы с конфликтующими метками.
43000	45000	Такие изображения исключенные заценки,
45000	48000	а сплить делается по образцу, чтобы одинаковый шлиф
48000	51000	не попадал одновременно в обучение и проверку.
51000	54000	Поэтому все метрики в ролике трактуются аккуратно,
54000	56000	у х супервиссион помогает учиться,
56000	59000	но не заменяет экспертную геологическую вистину.
59000	62000	Pipeline начинается с бинарной сегментации сульфидов,
62000	66000	затем считает связные компоненты и признаки каждого зерна.
67000	69000	После этого отдельная ветка оценивает тальк,
69000	74000	а финальный сорт получается издалей, морфологии и явных правил принятия решения.
75000	80000	Для сульфидов текущий сик фермер B2 о 0,974,
80000	86000	F1 0,987, и U7 0,999.
87000	89000	Классификация сорта на дитсон фличдит сплит
89000	97000	из 345 изображений дает мэкро F1 0,744 и мэкро U7 0,880.
98000	101000	Теперь переходим в приложение, оно хранит историю запусков
101000	105000	и каждый ран можно загрузить, не пересчитывая тяжелый эмель заново.
106000	109000	В рабочем месте оператор видит загруженный шлиф,
109000	112000	выбранную предобработку и доступные слои результата.
113000	116000	В финальном слое зеленый цвет показывает обычное сростание,
116000	121000	красный, тонкий, синей, тальк, а фон остается отдельным классом.
122000	125000	Переключаемся на слое сульфидов, можно менять прозрачность,
125000	128000	включать контуры и быстро сверять маску с исходным изображением.
129000	133000	Кнопка и справить, открывает ручную размет карте фактов шлифовки,
133000	136000	отмеченные области исключаются из знаменателя метрика.
137000	140000	Ни же приложение пишет человек и читаемый вывод,
140000	143000	сорт, долю сульфидов, долю талька и объяснение.
143000	145000	Почему сработала именно эта правила?
146000	149000	Таблица метрика показывает проанализированную область,
149000	154000	общую долю сульфидов, обычные и тонкие сростания, тальк и артефакты.
155000	157000	Если в методанных задан колеброванном масштаб,
157000	160000	в CSV и отчете дополнительно появляются физические площади
160000	162000	в квадратных микрометрах и миллиметрах.
163000	166000	Отдельная таблица сульфидных зерин показывает площадь,
166000	169000	эквивалентный диаметр, периметр, долю сульфидов
169000	171000	и прокси показатели освобождения.
172000	175000	Выбранные строки можно подсветить на изображение,
175000	177000	чтобы эксперт быстро проверил,
177000	179000	какие компоненты влияют на решение.
180000	183000	Все файлы запуска открываются из строенного списка.
183000	186000	Изображение, CSV и сарн до фочет Изи Пархив
186000	188000	остаются связаны с тем же рано ID.
189000	192000	Тальк показываем отдельно через приложение ревью масок,
192000	195000	потому что исходной синей контуры – это примерно и области,
195000	197000	а не полная пиксельная истина.
198000	201000	Здесь видный посетивый бак, подтвержденный толканаде,
201000	204000	защита от сульфидов и статус ревют для образца.
205000	207000	После ручного ревью 42 образцов,
207000	209000	толковая сикфероморбинуль ветка
209000	214000	дает миную 0,644,000 EF 1.0,782.
215000	219000	Важная говорка, примерно 83% проверенного талька,
219000	221000	оказалось в ней исходных синих мешков,
221000	224000	поэтому мы не завышаем точность доли талька.
225000	227000	Для больших панорам V2UI
227000	229000	используют анализ в уменьшенном представлении
229000	231000	и тайловую обработку с перекрытием.
232000	234000	На кадре включена сетка тайлов, так видно,
234000	237000	как большая панорама разбивается на участке
237000	239000	безручного кадрирования пользовати.
240000	242000	Панорамный ран также сохраняет сорт,
242000	244000	доли классов, маски и отчетные файлы,
244000	246000	но долгий расчет для дема открывается
246000	248000	из истории и не тратит минуты в кадре.
249000	252000	Странится статуса, показывает активный бэккент,
252000	255000	чекопаинт, состояние CPU, памяти, диска,
255000	258000	историю запусков и предупреждения посреди.
259000	261000	Для интеграции есть рецтепийай,
261000	264000	загрузка изображений, запуск опрос статуса,
264000	267000	артефакты, настройки, серии и хил-чекс.
268000	270000	Решение разворачивается локально
270000	273000	на флайн через дакр для EX86 и RM64,
273000	275000	обычное изображение стартует примерно
275000	278000	за 18,6 секунды.
279000	282000	Главная идея V2UI не просто показать красивую маску,
282000	284000	а сохранить воспроизводимый пакет,
284000	287000	исходник, настройки, модели, метрики,
287000	289000	отчеты и ограничения.
290000	292000	Следующий инженерный шаг,
292000	294000	экспертная валюдация масок талька
294000	296000	и колебровка правила сорта,
296000	297000	но текущий pipeline уже готов
297000	299000	для понятного судейского дема.
