start	end	text
0	4800	Это отдельный ролик, только про основной вид воёй инструмента, скажи мне, кто твой шлиф.
5680	8200	Другие приложения в этом видео не используются.
8960	15920	В кадре одно браузерное приложение, рабочее место, история запуска в серии, статус системы, IPI и настрой керантайм.
16600	17880	Начинаем с истории.
18480	23800	Готовые прогоны загружаются мгновенно, поэтому на демо мы не тратим минуты на повторный расчёт тяжёлой модели.
24480	26640	После загрузки рано открывается рабочее место.
26760	31680	Слева карточков ходного изображения, методанные, аугментация, предобработка и блок запуска.
32640	34120	Основная область в ур.
35000	40720	В нём можно переключать оригинал предобработку с ульфидную маску, финальную сегментацию и режим сравнения слоёв.
41720	43280	Сейчас выбран финальный слой.
44120	49360	Легенда слева показывает классы, обычные сростания, тонкие сросты, тальк, артефакты и фон.
50360	55240	Рядом с классами сразу видны доли попронализированной области, поэтому оператор видит не только цветную маску,
55360	56920	но и численную основу решения.
58000	61360	Тальк в этом ролике показан только как слой и настройка внутри вид во UI,
61680	64760	отдельное приложение размедки или ревью масок здесь не открывается.
65760	67200	Переключаемся на слой с ульфидов.
68160	72280	Он отделяет с ульфидную фазу отнес ульфидной основы и дает базу для компонентного анализа.
73240	79840	Под вьюер находится рабочие переключатели, показать тайлы, оставить только контуру и изменить прозрачность наложения поверх исходного шлифа.
80840	84040	Кнопка, исправить, открывает правку артефактов подготовки.
84920	88880	Такие зоны можно исключать, чтобы царапины и мусор не портили знаменатель метрик.
89800	96560	Ни живьюер приложение пишет текстовый вывод, классификации руды, доли с ульфидов и талька, а также краткое объяснение примененного правила.
97560	104360	Таблица метрик показывает проанализированную область, доли классов, количество компонент и служебной величины, которые потом попадают в отчет.
105400	112120	Если в методанных задом масштаб тот же интерфейс добавляет физические площади в квадратных микрометрах и миллиметров без отдельные обработки файла.
113080	120280	Зерновая таблица разворачивает с ульфидной компоненты, площадь, эквивалентный диаметр, периметр, долю с ульфидов и прокси показатели освобождения.
121400	128120	Строки таблица можно использовать как навигация по изображению, чтобы эксперт быстро увидел, какие зерна сильнее всего влияют на итоговый сорт.
129000	131720	Список файла фран открывается прямо из интерфейса.
132520	137720	Изображение, CSV, из сран, пДФ и зип остаются привязаны к одному не изменяему рано идей.
138680	145160	Это удобно для передачи результаты, можно открыть предпросмотр, скачать отдельный файл или забрать весь пакет артефактов одним зип архивом.
146040	148760	Теперь тот же V2EY показывает панорам на шлиф.
149640	153880	Большие изображения обрабатываются через анализируемое представление и тайловую схему.
154840	160360	Включенная сетка тайлов показывает, как панорама разбивается на участке с перекрытием безручного кадрирования пользователем.
161160	167880	Панорамный ран сохраняет такие же слои, доли классов и отчетные файлы, как обычно шлиф, но визуально работает с гораздо большим исходником.
168760	172680	Если расчёт большой панорама длиться долго, дема открывает готовый ран из истории.
173560	176680	В реальной записи такой частоток можно ускорять без потери смысла.
177640	185320	История хранит одиночный ронс с датой, статусом, прогрессом, классификацией, долями сульфидов и т. а также действиями загрузки и удаления.
186280	193880	Если ран ещё выполняется или остановлен, ЮА и показывают текстовый статус, процент этап ещё чектайлов, чтобы пользователь не годал, что происходит.
194680	196680	В том же разделе есть режим серий.
197400	202680	Он показывает бэчи ID, число изображений, и т. а вы статус, прогресс и быстрый переход к серии.
203560	206200	Странится серии, нужна для групповой обработки.
207000	211800	Сюда добавляют несколько изображений, задают общие настройки и запускают последовательный расчёт.
212680	219640	Каждый элемент серии становится обычным и мутаблиран, поэтому его можно открыть отдельно, выгрузить СВИ или включить в общей результат серии.
220520	222680	Настройки сохраняются на сервере приложения.
223720	229400	Здесь выбираются язык, тема, бейкинт, чекопаинт, источник талька и параметра предобработки по умолчанию.
230360	237480	Переключение бейкинт применяется к новым запускам, а уже созданный ронс остаются с тем чекопаинт и рантаем-пруурнанс, с которыми они были рассчитаны.
238360	245080	Кнопка проверки рантаем позволяет выледировать эмель чекопаинт без создания рон, поэтому проблемы окружения видны до начала обработки изображения.
246200	255000	Странится статуса показывает здоровье сервиса, бейкинт, чекопаинт, CPU, джпю или металл, память, диск, размерверк спис, активный задачи и журнал событий.
255880	262680	Этот экран полезен во время демонстрации, он объясняет, чем занят сервер, сколько есть ресурсов и почему рон может идти медленнее обычного.
263640	271560	Ипиай страница документирует те же операции, что доступны в браузере, загрузка изображений, стартран, опрос статуса, артефакты, серии и настройки.
272600	278840	Стройная песочница отправляет запросы на этот же сервер, поэтому интегратор может проверить контракт ИПi без отдельного постмансценария.
279880	288840	Итога в эсценарии остается внутри одного V2UI, загрузка, настройка, запуск, слои, метрики, в зерновое чёт, экспорт, история, серии и пиай.
288840	298040	Главная ценность интерфейса воспроизводимый пакет, исходник, настройки, модели, маски, таблицы, ачеты и ограничения сохранены рядом с результатом.
